,Crypto,Funding Rate,Exchange,date_time
1577,"""TONCOIN"" ",-0.0456,"""FTX TONCOIN ",2022-05-28 04:00:53.054651
1581,"""TRB"" ",-0.041728,"""Binance TRB ",2022-05-28 04:00:53.054651
1589,"""TRU"" ",0.0456,"""FTX TRU ",2022-05-28 04:00:53.054651
1593,"""TRX"" ",0.01,"""Binance TRX ",2022-05-28 04:00:53.054651
1595,"""TRX"" ",0.01498512,"""dYdX TRX ",2022-05-28 04:00:53.054651
1597,"""TRX"" ",-0.0016,"""FTX TRX ",2022-05-28 04:00:53.054651
1599,"""TRX"" ",0.01,"""BitMEX TRX ",2022-05-28 04:00:53.054651
1602,"""TRXBUSD"" ",0.01,"""Binance TRXBUSD ",2022-05-28 04:00:53.054651
1611,"""TRXT"" ",0.01,"""BitMEX TRXT ",2022-05-28 04:00:53.054651
1616,"""TRYB"" ",-0.1504,"""FTX TRYB ",2022-05-28 04:00:53.054651
1622,"""TULIP"" ",-0.076,"""FTX TULIP ",2022-05-28 04:00:53.054651
1627,"""UMA"" ",0.00866728,"""dYdX UMA ",2022-05-28 04:00:53.054651
1632,"""UNFI"" ",-0.018602,"""Binance UNFI ",2022-05-28 04:00:53.054651
1638,"""UNI"" ",0.002774,"""Binance UNI ",2022-05-28 04:00:53.054651
1640,"""UNI"" ",-0.00157352,"""dYdX UNI ",2022-05-28 04:00:53.054651
1642,"""UNI"" ",-0.0104,"""FTX UNI ",2022-05-28 04:00:53.054651
1648,"""UNISW"" ",0.1192,"""FTX UNISW ",2022-05-28 04:00:53.054651
1654,"""UNISWAP"" ",-0.012,"""FTX UNISWAP ",2022-05-28 04:00:53.054651
1661,"""UNIT"" ",0.1742,"""BitMEX UNIT ",2022-05-28 04:00:53.054651
1666,"""USDT"" ",-0.0024,"""FTX USDT ",2022-05-28 04:00:53.054651
1672,"""UST"" ",0.2832,"""FTX UST ",2022-05-28 04:00:53.054651
1676,"""VET"" ",-0.011149,"""Binance VET ",2022-05-28 04:00:53.054651
1679,"""VET"" ",-0.0008,"""FTX VET ",2022-05-28 04:00:53.054651
1686,"""VETT"" ",0.1575,"""BitMEX VETT ",2022-05-28 04:00:53.054651
1689,"""WAVES"" ",-0.245688,"""Binance WAVES ",2022-05-28 04:00:53.054651
1692,"""WAVES"" ",-0.1552,"""FTX WAVES ",2022-05-28 04:00:53.054651
1696,"""WOO"" ",-0.012187,"""Binance WOO ",2022-05-28 04:00:53.054651
1704,"""XAUT"" ",-0.0296,"""FTX XAUT ",2022-05-28 04:00:53.054651
1711,"""XBTEU"" ",0.01,"""BitMEX XBTEU ",2022-05-28 04:00:53.054651
1717,"""XBTEUR"" ",0.01,"""BitMEX XBTEUR ",2022-05-28 04:00:53.054651
1723,"""XBTT"" ",0.0035,"""BitMEX XBTT ",2022-05-28 04:00:53.054651
1726,"""XEM"" ",-0.088129,"""Binance XEM ",2022-05-28 04:00:53.054651
1729,"""XEM"" ",-0.0544,"""FTX XEM ",2022-05-28 04:00:53.054651
1733,"""XLM"" ",-0.003184,"""Binance XLM ",2022-05-28 04:00:53.054651
1735,"""XLM"" ",0.0087664,"""dYdX XLM ",2022-05-28 04:00:53.054651
